R-RMNY,PAGE,URL
0483-RMNY-0353,0069,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_078.html
0484-RMNY-0353,0344,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_365.html
0494-RMNY-0353,0238,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_246.html
0496-RMNY-0353,0232,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_241.html
0497-RMNY-0353,0019,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_389.html
0498-RMNY-0353,0002,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_373.html
0511-RMNY-0351,0234,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0240.html
0516-RMNY-0353,0053,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_424.html
0533-RMNY-0353,0221,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_229.html
0540-RMNY-0353,0096,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_104.html
0550-RMNY-0353,0056,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_427.html
0867-RMNY-0351,0033,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0037.html
0577-RMNY-0353,0108,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_117.html
0583-RMNY-0353,0015,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_024.html
0092-RMNY-0353,0031,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_041.html
0562-RMNY-0353,0023,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_032.html
0584-RMNY-0353,0005,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_014.html
0585-RMNY-0353,0233,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_242.html
0590-RMNY-0353,0063,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_434.html
0618-RMNY-0353,0099,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_472.html
0626-RMNY-0353,0115,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_487.html
0629-RMNY-0351,0369,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0379.html
0634-RMNY-0458,0000,http://mek.oszk.hu/12000/12022/html/RMK_I_0165_0001.html
0639-RMNY-0353,0029,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_399.html
0640-RMNY-0353,0176,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_185.html
0643-RMNY-0353,0008,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_378.html
0645-RMNY-0353,0081,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_452.html
0649-RMNY-0353,0170,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_179.html
0654-RMNY-0353,0316,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_325.html
0503-RMNY-0353,0317,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_326.html
0731-RMNY-0353,0318,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_327.html
0774-RMNY-0353,0319,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_327.html
0702-RMNY-0353,0320,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_328.html
0697-RMNY-0353,0315,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_324.html
2050-RMNY-0353,0322,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_330.html
0656-RMNY-0353,0186,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_195.html
0657-RMNY-0353,0003,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_374.html
0659-RMNY-0353,0126,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_498.html
3512-RMNY-0353,0141,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_149.html
0671-RMNY-0353,0206,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_214.html
0678-RMNY-0353,0234,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_243.html
0682-RMNY-0353,0218,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_227.html
0683-RMNY-0351,0121,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0128.html
0692-RMNY-0956,0000,http://mek.oszk.hu/12100/12140/html/RMK_I_0362_0001.html
0695-RMNY-0353,0146,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_154.html
0699-RMNY-0353,0147,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_156.html
0700-RMNY-0353,0313,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_322.html
0720-RMNY-0353,0023,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_394.html
0733-RMNY-0353,0266,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_275.html
0734-RMNY-0353,0267,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_275.html
0739-RMNY-0353,0015,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_385.html
0775-RMNY-0353,0128,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_136.html
0781-RMNY-0353,0007,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_378.html
0782-RMNY-0353,0281,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_290.html
0784-RMNY-0353,0275,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_284.html
0785-RMNY-0353,0284,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_292.html
0786-RMNY-0353,0277,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_286.html
0791-RMNY-0353,0273,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_282.html
0792-RMNY-0353,0272,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_280.html
0794-RMNY-0353,0276,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_285.html
0799-RMNY-0353,0188,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_196.html
0666-RMNY-0869,0047,http://mek.oszk.hu/12200/12295/html/RMK_I_0315_0110.html
1115-RMNY-0869,0050,http://mek.oszk.hu/12200/12295/html/RMK_I_0315_0115.html
0805-RMNY-0869,0046,http://mek.oszk.hu/12200/12295/html/RMK_I_0315_0108.html
1475-RMNY-0869,0051,http://mek.oszk.hu/12200/12295/html/RMK_I_0315_0117.html
0935-RMNY-0869,0049,http://mek.oszk.hu/12200/12295/html/RMK_I_0315_0113.html
0806-RMNY-0353,0301,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_309.html
0808-RMNY-0353,0299,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_308.html
0819-RMNY-0351,0004,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0008.html
0829-RMNY-0353,0041,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_050.html
0834-RMNY-0353,0026,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_397.html
0019-RMNY-0353,0305,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_313.html
0060-RMNY-0353,0317,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_325.html
0850-RMNY-0353,0070,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_441.html
0859-RMNY-0353,0004,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_374.html
0870-RMNY-0353,0127,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_500.html
0888-RMNY-0353,0149,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_157.html
0896-RMNY-0353,0345,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_367.html
0903-RMNY-0353,0192,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_201.html
0910-RMNY-0353,0094,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_103.html
0912-RMNY-0353,0114,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_486.html
0914-RMNY-0353,0122,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_131.html
0915-RMNY-0353,0117,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_489.html
0916-RMNY-0353,0055,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_063.html
0920-RMNY-0353,0004,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_374.html
0934-RMNY-0353,0179,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_188.html
0945-RMNY-0353,0096,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_468.html
0952-RMNY-0353,0088,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_460.html
0957-RMNY-0353,0105,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_114.html
0971-RMNY-0353,0143,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_152.html
0972-RMNY-0353,0142,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_151.html
0977-RMNY-0353,0117,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_126.html
0983-RMNY-0353,0046,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_418.html
